name,alias,part,age,infection,insurance,department,checklist,symptom,complication,treatment,drug,period,rate,money
外阴毛囊炎,外阴脓疱性毛囊炎,外阴 皮肤,机体免疫力下降，外阴清洁卫生差,无传染性,非医保疾病,妇科 皮肤科,妇科的保健体检 外阴部妇科常规检查 白细胞数 妇科常规检查 [详细],疼痛 脓疱 充血 外阴皮肤肿胀 外阴烧灼刺激感 [详细],阴道炎 [详细],药物治疗 [详细],氯霉素搽剂 克林霉素甲硝唑... 克拉霉素分散片 [详细],治疗周期7天,治愈率92%,
舌癌,舌岩，舌疳,口,多发生于40－60岁之间、男性多于女性,无传染性,医保疾病,肿瘤科 口腔科,耳鼻咽喉CT [详细],舌运动受限 吞咽困难 环咽部运动障碍 舌骨区有肿胀压痛 舌痛 [详细],颈淋巴结结核 [详细],药物、手术治疗 [详细],甲氨蝶呤片 注射用盐酸平阳... 羟基脲片 [详细],2-5个月,发现后5年生存率75%,
贲门癌,,胃,所有人群,无传染性,医保疾病,肿瘤科 消化内科,气钡双对比造影 内镜检查 腹部CT 上消化道X线钡餐 [详细],剧痛 水肿 昏迷 消瘦 隐痛 [详细],食道癌 [详细],手术治疗、放化疗 [详细],去甲斑蝥素片 食道平散 抗癌平丸 [详细],1-2个月,1.30%,
翼状胬肉,胬肉攀睛,眼,户外劳动者,无传染性,医保疾病,眼科,p53蛋白 [详细],眼结膜上出现瘀点 结膜充血 结膜乳头增生 角膜表面三角形胬肉 视力障碍 [详细],散光 翼状胬肉 颅咽管瘤 发作性睡病 眼眶肌炎 [详细],药物治疗、手术治疗 [详细],拨云退翳丸 注射用盐酸平阳... 注射用盐酸平阳... [详细],1-3月,80%,
腺样体肥大,,咽喉,儿童、少年期,无传染性,医保疾病,内分泌科 耳鼻喉科,鼻咽部活组织检查 血清卵泡刺激素 血清鳞状上皮细胞癌抗原 产科B超 浆膜腔积液细胞学检查 [详细],打呼噜 张口呼吸 唾液分泌增多 呛咳 胸闷 [详细],尿道癌 人流后妇科病 女性尿道癌 宫颈糜烂 盆腔炎 [详细],,气管炎丸 肠内营养乳剂(T... 复方双花口服液 [详细],,暂无相关资料,
早产,,全身,妊娠满28周至不足37周的孕妇,无传染性,医保疾病,产科,妊娠周数的判断 妊娠检查 血清妊娠相关血浆蛋白A 血清α2-妊娠相关蛋白 β1-妊娠特异蛋白 [详细],子宫颈扩张 先兆早产 胎膜早破 阴道出血 肚子疼 [详细],硬肿症 [详细],药物治疗 [详细],盐酸利托君片 妇康丸 盐酸氨溴索注射... [详细],治疗周期30天,治愈率89%,
胸腔积液,胸液，胸水，胸膜渗出，胸膜渗出液,胸部,所有人群,无传染性,医保疾病,心胸外科 外科,体位 肿瘤相关抗原 血清血管紧张素转化酶 涂片 电子支气管镜 [详细],胸痛 呼吸困难 胸闷 呼吸音减弱 胸膜摩擦音 [详细],肺水肿 休克 贫血 [详细],手术治疗 [详细],注射用重组人白... 重组人白细胞介... 重组人干扰素β... [详细],3个月,80%,
肠癌,,肠,中老年人,无传染性,非医保疾病,肿瘤科 胃肠外科,粪便隐血试验 肛门指检 大便血液 内镜检查 超声内镜 [详细],便血 食欲不振 体重减轻 排便不尽感 排便频率异常 [详细],大肠癌 结肠癌 直肠癌 小肠类癌 小肠腺癌 [详细],手术治疗、药物治疗 [详细],卡培他滨片 抗癌平丸 复方斑蝥胶囊 [详细],,70%,
月经量多,月经过多,子宫,青春期--围绝经期的女性,无传染性,医保疾病,妇科,黄体酮 雌激素 凝血时间 血清卵泡刺激素 血清鳞状上皮细胞癌抗原 [详细],月经量多 子宫出血 有排卵性功血 经期提前 月经失调 [详细],贫血 子宫肌瘤 盆腔炎 淋病 子宫内膜异位症 [详细],中药治疗、西药治疗、 [详细],益母草软胶囊 宫血宁胶囊 益妇止血丸 [详细],1-3个月,60-70%,
老年期抑郁障碍,,心理,中老年人,无传染性,非医保疾病,精神病科 心理咨询,颅脑CT 心电图 [详细],食欲减退 疲乏 背痛 无力 焦虑 [详细],心力衰竭 [详细],心理治疗 药物治疗 支持治疗 [详细],安神胶囊 宁心安神胶囊 醒脑安神胶囊 [详细],2-4月,68%,市三甲医院约（3000——5000元）
血栓形成,血栓症,血液血管,中老年人,无传染性,非医保疾病,血液科 心血管内科,内皮素 血浆凝血酶调节蛋白活性 血小板检查项目 血管造影 电阻抗体积描记 [详细],呼吸困难 动脉粥样硬化 静脉曲张 颈内动脉创伤性血栓 胸痛 [详细],肺栓塞 [详细],暂无相关资料,肝素钠注射液 肝素钠封管注射... 抗栓胶囊 [详细],,暂无相关资料,暂无相关资料
蛲虫病,,腹部 全身,儿童人群,有传染性,医保疾病,传染科 消化内科,虫卵计数法 肛门视诊 肛门拭子检查法 寄生虫检查的定量透明法 环卵沉淀试验 粪便寄生虫 大便白细胞 [详细],肚子疼 失眠 小儿的异嗜症状 小儿夜惊咬指 食欲减退 [详细],坐骨直肠窝脓肿 [详细],药物治疗 [详细],盐酸左旋咪唑颗... 盐酸左旋咪唑栓 伊维菌素片 [详细],3-7天,80%,不同医院收费标准不一致，市三甲医院约（1000--5000元）;
胆囊癌,,胆,中老年人群40岁以上,无传染性,医保疾病,肿瘤科 肝胆外科,胆囊胆道B超 血浆游离皮质醇 多药耐药基因 p53基因 血清组织多肽抗原 [详细],嗳气 恶病质 持续性疼痛 胆囊积脓 胆囊壁变薄 [详细],血栓形成 [详细],药物治疗、放射治疗、化学治疗 [详细],依托泊苷软胶囊 替莫唑胺胶囊 复方环磷酰胺片 [详细],3个月,30%,
胸膜炎,肋膜炎,胸部,青壮年人群,无传染性,医保疾病,呼吸内科 心胸外科,结核菌素皮内试验 胸透 昂德腊耳征 舍佩耳曼征 呼吸动度 [详细],胸痛 咳嗽 胸闷 气急 呼吸困难 [详细],老年人胸腔积液与胸膜炎 结核性胸膜炎 小儿结核性胸膜炎 [详细],药物治疗 [详细],利福喷丁胶囊 注射用头孢他啶 注射用阿洛西林... [详细],10-30天,80--90%,
视网膜病变,"黄斑病变,Rieger中心性视网膜炎,青年性出血性黄斑病变",眼,老年患者常见,无传染性,医保疾病,眼科,眼底镜检查法 [详细],夜盲 视力障碍 中心暗点扩大 光反射消失 眼底出血和渗出 [详细],视网膜病变 糖尿病 [详细],中医药物治疗、西医药物治疗、手术治疗 [详细],羟苯磺酸钙胶囊 曲克芦丁氯化钠... 独一味软胶囊 [详细],10-30天,60%,
恶性淋巴瘤,,淋巴,好发于中老年人，以工作压力大者好发,无传染性,医保疾病,肿瘤科 血液科,淋巴显像 局部淋巴显象 血清M蛋白 血清亮氨酸氨基转肽酶 血沉 [详细],肺门增宽 瘙痒 颌下淋巴结肿大压痛 脾肿大 消瘦 [详细],,药物治疗、手术治疗、放化疗 [详细],消癌平糖浆 醋酸泼尼松片 醋酸泼尼松片 [详细],8-12周,30-40%(外科手术治疗),
突发性耳聋,突发性聋、突聋,耳,儿童、青壮年,无传染性,医保疾病,耳鼻喉科,音叉检查 施瓦巴赫试验 听力检查 听力图 纯音听力计检查法 [详细],听力下降 恶心 复聪现象 耳堵 眼睑震颤 [详细],中耳炎 耳聋 耳膜穿孔 眩晕 [详细],糖皮质激素治疗、高压氧治疗 [详细],注射用降纤酶 注射用葛根素 尼莫地平片 [详细],7-10天,60%,
膝关节骨性关节炎,膝痹,膝部,中老年人,无传染性,非医保疾病,中医科 骨科,四肢的骨和关节平片 关节镜 髋关节弹响试验 髋关节超伸试验 踝关节背伸试验 [详细],膝关节疼痛 关节肿胀 膝关节肿大 间歇性跛行 关节疼痛 [详细],骨质增生 膝关节半月板损伤 膝关节脱位 [详细],药物治疗、手术治疗、微创治疗、物理治疗、中医治疗 [详细],硫酸氨基葡萄糖... 骨肽片 盐酸氨基葡萄糖... [详细],1-2个月,60%,市三甲医院约（1000 —— 5000元）
母乳性黄疸,喂养性黄疸,全身,婴幼儿,无传染性,非医保疾病,儿科 消化内科,血清间接胆红素 红细胞血清总胆红素 [详细],新生儿母乳喂养后出现黄疸 生理性黄疸 病理性黄疸 阻塞性黄疸 溶血性黄疸 [详细],,中医药物治疗、西医药物治疗 [详细],当飞利肝宁胶囊 复方金钱草颗粒 九味獐牙菜丸 [详细],7-14天,90%,
人格障碍,"病态人格,异常人格",心理,压力大者好发,无传染性,医保疾病,精神病科 精神心理科,颅脑MRI 颅脑CT [详细],猜疑 多疑 易于产生病理嫉妒信念 社交敏感性障碍 冲动型人格障碍 [详细],精神分裂症 [详细],药物治疗、心理咨询 [详细],盐酸氟西汀胶囊 碳酸锂片 氯氮平片 [详细],3-6月,60%,
冻疮,,皮肤,儿童、妇女及老年人,无传染性,医保疾病,皮肤科,,皮肤潮红肿胀 红斑样皮疹 肢体发凉 肢端发绀 手指冻肿 [详细],,药物治疗、支持疗法 [详细],肝素钠乳膏 辣椒风湿膏 氟轻松维B6乳膏 [详细],7--14天,80%,
阵发性室上性心动过速,室上速,心脏,多见于无器质性心脏病的年轻人或有风湿性心脏病、冠心病、心肌病及甲亢病人。,无传染性,医保疾病,心血管内科 心胸外科,心电图 动态心电图 [详细],胸闷憋气 面色青灰 无力 心悸 心率增快 [详细],心绞痛 低血压 [详细],药物治疗 支持性治疗 [详细],盐酸莫雷西嗪片 珊瑚七十味丸 心肝宝胶囊 [详细],2-4月,85%,市三甲医院约（3000-10000元）
肛周湿疹,,肛门,所有人群,无传染性,非医保疾病,皮肤科 肛肠外科,肛门视诊 肛门拭子检查法 肛门指检 [详细],肛周皮肤有湿疹 瘙痒 肛周皮肤潮红 肛门湿疹瘙痒 脓疱 [详细],蜂窝织炎 [详细],药物治疗、局部治疗、中药治疗 [详细],冰黄肤乐软膏 当归苦参丸 黑豆馏油软膏 [详细],7--10天,60--80%,不同医院收费标准不一致，市三甲医院约1000--5000
新生儿缺氧缺血性脑病,,颅脑,新生儿，婴儿,无传染性,医保疾病,儿科,颅脑MRI 颅脑超声检查 脑电图 血清NSE 颅脑CT [详细],腱反射消失 前囟饱满 窒息 肌张力降低 易激惹 [详细],吸入性肺炎 脑积水 [详细],药物治疗 支持性治疗 [详细],二维三七桂利嗪... 银柴颗粒 尼莫地平缓释片 [详细],2-4周,60%,市三甲医院约（3000-5000元）
脉管炎,"静脉炎,血栓性静脉炎",血液血管,所有人群,无传染性,医保疾病,血管外科,中心静脉压 电阻抗体积描记 [详细],呈红色条索，游走的浅静脉 浅静脉有一发红低热的索状物 局部静脉硬索状 皮下静脉呈网状怒张 毛细血管扩张 [详细],,药物治疗、局部疗法、手术疗法 [详细],肝素钠乳膏 非普拉宗片 菠萝蛋白酶肠溶... [详细],一般治疗需要30-60天周期。,经过治疗有效治愈率在70%能够治愈。,
自然流产,"自发流产,自发性流产",女性生殖,育龄期女性人群,无传染性,医保疾病,产科,子宫内膜活检 子宫大小 阴道细胞学检查 IgG抗A-效价 血清孕激素 [详细],下腹痛 阴道出血 停经 子宫小 完全流产 [详细],盆腔炎 [详细],药物治疗 [详细],黄体酮胶囊 维生素E软胶囊 维生素E软胶囊 [详细],治疗周期7天,治愈率98%,
过敏,,全身,所有人,无传染性,非医保疾病,皮肤科,气道过敏试验 过敏原检测 皮内试验 皮肤点刺试验 二硝基氟苯皮肤试验 [详细],红斑样皮疹 光过敏 药物过敏反应 全身过敏和发热皮疹关节痛 食物过敏 [详细],,药物治疗 [详细],氯雷他定片 氯雷他定片 马来酸氯苯那敏... [详细],,60%,
手癣,鹅掌风,皮肤 上肢,所有人群，多见于中老年人，男性多于女性,有传染性,医保疾病,皮肤科 传染科,真菌组织病理学 真菌检查 [详细],手脱皮 皮肤瘙痒 皮肤皲裂 脓疱 鳞屑 [详细],股癣 手足癣 [详细],药物治疗 [详细],珊瑚癣净 华佗膏 复方水杨酸搽剂 [详细],7--14天,60--80%,市三甲医院约（500-1000元）
蚕豆病,胡豆黄,血液血管,见于先天遗传,无传染性,医保疾病,心血管内科 中医科,变性球蛋白小体染色试验 [详细],疲劳 无力 食欲缺乏 血红蛋白尿 头昏 [详细],脑囊虫病 垂体性侏儒症 新生儿泪囊炎 高温引起的溶血性贫血 冷抗体型自身免疫性溶血性贫血 [详细],预防治疗、输血治疗、药物治疗 [详细],应该如何用药？用什么药？ [详细],2-4周,95%,
高血压危象,,血液血管 全身,有高血压基础病,无传染性,医保疾病,心血管内科,肾功能 血压测量 动态血压监测(ABPM) [详细],恶心 嗜睡 烦躁不安 颈部搏动 基底节出血 [详细],高血压脑病 肾衰 [详细],药物治疗 [详细],山楂精降脂片 呋塞米片 七十味珍珠丸 [详细],治疗周期15天,治愈率94%,不同医院收费标准不一致，市三甲医院约（5000 —— 10000元）
轻度宫颈糜烂,Ⅰ度宫颈糜烂,子宫,成年女性,无传染性,非医保疾病,妇科,阴道镜 妇科常规检查 [详细],白带增多 下腹坠胀 腰酸 肚子疼 [详细],暂无相关资料,暂无相关资料,壳聚糖抗菌膜 红光治疗仪 [详细],,暂无相关资料,暂无相关资料
营养不良,,全身,所有人群,无传染性,医保疾病,营养科 消化内科,身体器官功能与营养 BMI指数 血清钾 血清钙 血清锌 [详细],生长缓慢 消瘦 皮肤干燥 体型异常 唇甲色淡 [详细],贫血 低血糖 [详细],药物治疗 [详细],参术儿康糖浆 右旋糖酐铁片 富马酸亚铁多库... [详细],30天,90%,市三甲医院约（1000-5000元）
老年人睡眠障碍,老年睡眠障碍,颅脑 心理,中老年人群,无传染性,非医保疾病,老年科 心理咨询,动脉血气分析 动态心电图 纤维鼻咽镜 多导睡眠图 [详细],入睡困难 睡眠呼吸暂停 嗜睡 睡眠时间倒错 夜寐不实 [详细],猝死 高血压 睡眠障碍 肺动脉高压 心脏病 [详细],药物治疗 [详细],乌灵胶囊 补肾益寿胶囊 更年安胶囊 [详细],,95%,市三甲医院约（500 —— 1000元）
伤寒,"肠热病,伤寒病,伤寒症",肠 全身,所有人群,有传染性,医保疾病,传染科,肥达氏反应 外裴氏试验 便常规 尿常规 聚合酶链式反应 血清总补体活性 肥达反应 伤寒胶乳凝集试验 血清免疫球蛋白M 血液及骨髓细菌培养 [详细],高热不退 缓脉 玫瑰疹 肝脾肿大 全身感染中毒症状 [详细],,药物治疗 [详细],呋喃唑酮片 土霉素片 乳酸左氧氟沙星... [详细],14天,80%,市三甲医院约10000-30000;
酒精中毒,乙醇中毒，酒厥,全身,青年及中年男性，喜欢喝酒的,无传染性,非医保疾病,急诊科 消化内科,肝功能 肾功能 动脉血气分析 尿肌红蛋白 口形红细胞 [详细],恶心与呕吐 谵妄 头晕 嗜睡 面色苍白 [详细],,药物治疗 [详细],三磷酸腺苷二钠... 果糖二磷酸钠口... 沙丁胺醇气雾剂 [详细],3-7天,98%,
糖尿病肾病,,肾,糖尿病患者,无传染性,医保疾病,肾内科 中西医结合科,尿白蛋白清除率 内生肌酐清除率 肾小球滤过率 尿葡萄糖 尿蛋白定量 [详细],蛋白尿 糖尿 胰岛细胞破坏 腹水 食欲减退 [详细],肾病综合征 糖尿病 [详细],药物治疗 [详细],呋塞米片 胰岛素注射液 厄贝沙坦片 [详细],3个月,40%,不同医院收费标准不一致，市三甲医院约（10000 —— 30000元）
接触性皮炎,"马桶癣,漆疮,膏药风,粉花疮",皮肤,所有人群,无传染性,医保疾病,皮肤科 中西医结合科,皮肤病的物理检查 免疫病理检查 过敏原检测 皮肤试验 [详细],红斑样皮疹 光感性皮肤损害 痤疮样皮疹 尿中组织胺排泄增加 带状疱疹样外观 [详细],瘙痒症 [详细],药物治疗 [详细],倍他米松新霉素... 复方曲安奈德乳... 复方醋酸地塞米... [详细],3个月,60%,
急性心肌梗死,"急性心肌梗塞,急性心梗",心脏 血液血管,所有人群,无传染性,医保疾病,心胸外科 心血管内科,二维超声心动图 心电图 冠状动脉造影 心肌酶 血清肌酸激酶同工酶 [详细],胸痛 心肺栓塞 心肌坏死广泛 上腹部疼痛 胸闷憋气 [详细],心肌梗塞 心力衰竭 [详细],药物治疗 [详细],果糖二磷酸钠胶... 单硝酸异山梨酯... 酒石酸美托洛尔... [详细],2-4周,30%,
疟疾,"打摆子,瘴气",全身,所有人群，儿童发病率高,有传染性,医保疾病,传染科,血吸虫间接血凝试验 血清疟原虫抗体和抗原 疟疾间接免疫荧光试验 [详细],发烧 乏力 头痛 口唇发绀 脾肿大 [详细],,药物治疗、中医治疗 [详细],藿香祛暑软胶囊 通天口服液 全天麻胶囊 [详细],3个月,40%,市三甲医院约（10000--20000元）;
细菌性痢疾,菌痢，志贺菌病,胃 肠,所有人群,有传染性,医保疾病,传染科 消化内科,便常规 小肠造影 粪便量 粪便性状 大便颜色 粪便气味 粪便吞噬细胞 痢疾杆菌检测 病原体检查 [详细],黏液便 稀便 阵发性腹痛 大便酸臭 恶心 [详细],甲营养不良 [详细],药物治疗 [详细],清热消炎宁胶囊 穿心莲内酯滴丸 磷霉素钙胶囊 [详细],7-14天,经过治疗后99%可以痊愈治疗。,不同医院收费标准不一致，市三甲医院约（1000-5000元）;
散光,乱视眼,眼,所有人群，青少年,无传染性,医保疾病,眼科,检影镜 角膜地形图 带状光检影法 视网膜检影法 屈光检查 [详细],看东西有重影 视力障碍 视物模糊 眼疲劳 头痛 [详细],,光学矫正、手术治疗 [详细],软性角膜接触镜 软性角膜接触镜 软性亲水接触镜 [详细],>120天(终身佩戴眼镜),暂无相关资料,
功能性消化不良,消化不良,胃 肠,所有人群,无传染性,非医保疾病,消化内科 中医科,胃充盈及排空功能 胃排空测定和显像 腹部平片 腹部CT 粪便脂肪定量 [详细],消化不良 腹部不适 嗳气 粪便排出过程异常 气上沖心 [详细],呕吐 肠易激综合征 [详细],药物治疗、饮食疗法 [详细],枸橼酸莫沙必利... 西沙必利胶囊 碳酸氢钠片 [详细],治疗周期21天,治愈率79%,
糖尿病酮症酸中毒,酮症酸中毒,全身,糖尿病患者,无传染性,医保疾病,内分泌科 中西医结合科,血清谷氨酸脱羧酶抗体 葡萄糖可的松耐量试验 缓冲液 二氧化碳总量 尿乙酰乙酸 [详细],肚子疼 胃肠道症状 昏睡 呼气中有甜臭味 头痛 [详细],代谢性酸中毒 乳酸性酸中毒 糖尿病乳酸性酸中毒 [详细],药物治疗 [详细],碳酸氢钠注射液 胰岛素注射液 沙格列汀片 [详细],2-4周,85%,不同医院收费标准不一致，市三甲医院约（3000-5000元）
外阴白色病变,"外阴白色病损,外阴白斑,外阴营养不良",外阴,见于任何年龄，多见于40岁左右妇女。,无传染性,医保疾病,妇科,阴道活检 皮肤涂片显微镜检查 直接涂片检查 血常规 阴道分泌物涂片 [详细],外阴皮肤肿胀 外阴萎缩 外阴白斑 外阴烧灼刺激感 阴部溃疡 [详细],外阴肿瘤 外阴良性肿瘤 外阴湿疹 梅毒 绝经 [详细],药物治疗 手术治疗 放射性治疗 支持性治疗 [详细],抗妇炎胶囊 抗宫炎片 复方莪术油栓 [详细],1-3个月,70%,
睾丸扭转,精索扭转,睾丸,所有人群，以婴幼儿和青少年多见,无传染性,医保疾病,男科 泌尿外科,阴囊超声检查 [详细],剧烈疼痛 阴囊坠胀痛 恶心 厌食 睾丸疼痛 [详细],睾丸炎 [详细],药物治疗、手术治疗 [详细],二十八味槟榔丸 黄体酮胶丸 卡铂注射液 [详细],2-4周,50%,
性变态,,心理,性活跃人群尤为多见,无传染性,非医保疾病,心理咨询,神经系统检查 脑电图 男性生殖系X线检查 内生殖器检查 外生殖器检查 [详细],摩擦型性变态 性施虐癖 窥淫癖 恋兽癖 性受虐癖 [详细],人格障碍 摩擦黑变病 [详细],心理治疗 [详细],茴拉西坦胶囊 尼麦角林片 富马酸喹硫平片 [详细],1-2年,60%-80%,不同医院收费标准不一致，市三甲医院约（1000—— 10000元）
胆管癌,胆管细胞癌,胆 肝,发病年龄多为50～70岁，但也可见于年轻人,无传染性,医保疾病,肿瘤科 肝胆外科,术后经T形管胆道造影 HER-2基因 血浆游离皮质醇 血清组织多肽抗原 血清癌胚抗原 [详细],腹部不适 肚子疼 恶心 腹水 胆囊增大 [详细],肝硬化 [详细],手术治疗 [详细],经肝胆道支架系... 自膨式外周支架... [详细],,外科手术治愈率约为75%,
腱鞘囊肿,,关节,用手关节较多的人群多发，发生于任何年龄，多见于青年和中年，女性多于男性,无传染性,医保疾病,骨科 中医科,肩关节外展试验 肩外展摆动试验 [详细],压痛 冻结肩 肌腱囊肿 肌肉萎缩 囊肿 [详细],肿胀 [详细],外科治疗、物理治疗 [详细],双氯芬酸钠肠溶... 伤痛舒 复方七叶皂苷钠... [详细],1-3周,80%,
女性尖锐湿疣,,女性生殖,中年女性,有传染性,非医保疾病,妇科 性病科,HPV检查 涂片 结核杆菌基因检测 醋酸白试验 [详细],湿疣 肛门瘙痒 外阴鳞状上皮疣状增生 [详细],暂无相关资料,药物治疗、手术治疗 [详细],>> 应该如何用药？用什么药？ [详细],,65%，本病容易复发，可能需要反复多次治疗,市三甲医院约4000-5000元
病毒性脑炎,"病毒性脑膜炎,散发性脑炎",颅脑,所有人群,有传染性,医保疾病,神经内科,脑膜刺激征 脑脊液细菌培养 脑脊液细胞学检查 脑脊液一般性状 脑脊液的化学检查 脑脊液蛋白 脑脊液脑膜炎球菌抗原 积液溶菌酶 脑脊液钠 脑脊液葡萄糖和血清葡萄糖比值 [详细],发烧 头痛 恶心与呕吐 脑膜刺激征 颈项强直 [详细],褥疮 疖 [详细],药物治疗 [详细],氟康唑胶囊 甘油氯化钠注射... 甘油氯化钠注射... [详细],1-2个月,经过抗病毒治疗后，能够有效控制治愈，一般,市三甲医院约（1000-5000元）;
肋间神经痛,肋间神经炎,周围神经系统 胸部,有胸腔病变或带状疱疹者,无传染性,医保疾病,神经内科 中医科,暂无相关资料,胁肋灼痛 肋间隙可有压痛 烧灼性疼痛 感觉过敏 感觉障碍 [详细],发作性睡病 坐骨神经痛 脑血管瘤 颅咽管瘤 三叉神经痛 [详细],药物、理疗、针灸、推拿 [详细],普瑞巴林胶囊 布洛芬乳膏 维生素B1片 [详细],2-4周,85%,市三甲医院约（3000 —— 5000元）
手足癣,"手癣,足癣,香港脚",手部 足部,所有人群,有传染性,非医保疾病,皮肤科,扫描电子显微镜 偏振光显微镜检查 真菌培养 真菌检查 皮损 [详细],指甲有红色或黑色斑点 表皮角化 鳞屑 手、足部厚壁水疱 足癣 [详细],接触性皮炎 脚气病 [详细],药物治疗 [详细],硝酸咪康唑乳膏 曲安奈德益康唑... 曲安奈德益康唑... [详细],3-6个月,70-85%,不同医院收费标准不一致，市三甲医院约（1000 —— 5000元）
癔症,,心理,青年，女性,无传染性,医保疾病,心理咨询 精神心理科,脑神经检查 颅脑MRI [详细],情感暴发 躁狂与昏睡交替 癔症步态 狂笑 不自主运动 [详细],,药物治疗 [详细],尼麦角林 氟哌啶醇片 盐酸氯丙嗪片 [详细],3-6个月,60-70%(以心理疏导治疗为主),
过敏性哮喘,,肺,所有人，儿童占多数,无传染性,医保疾病,风湿科 中西医结合科,肺功能 动脉血气分析 皮肤试验 胸部平片 痰液显微镜检查 [详细],胸闷 吐泡沫痰 紫绀 哮鸣音 气喘 [详细],暂无相关资料,药物治疗 [详细],镇咳宁胶囊 消咳宁片 复方茶碱甲麻黄... [详细],7-14天,30%,市三甲医院约（3000 —— 5000元）
内痔,痔疮,肛门,所有人群，多见于40岁以上的中老年人。,无传染性,医保疾病,肛肠外科,肛门视诊 肛门指检 直肠镜 [详细],痔核 痔出血 肛门坠胀 肛门瘙痒 肛门疼痛 [详细],肛瘘 肛裂 [详细],药物治疗、手术治疗 [详细],三七化痔丸 肛泰栓 肛泰软膏 [详细],7-10个,90%,
皮肤瘙痒症,瘙痒性皮肤病,皮肤,一般以老年人多见,无传染性,医保疾病,皮肤科,皮损 [详细],皮肤瘙痒 剧痒 良性反应性改变 阴囊瘙痒 肛门瘙痒 [详细],湿疹 [详细],西医药物治疗 [详细],丙酸睾酮注射液 氯雷他定片 湿毒清胶囊 [详细],5--7天,80%,市三甲医院约（100-500元）
多汗症,"自汗,盗汗，汗证",皮肤 周围神经系统,多在青少年时发病,无传染性,非医保疾病,皮肤科 皮肤性病,便常规 尿常规 自主神经功能检查 [详细],掌跖多汗 交感神经高度紧张 发绀 肌肉萎缩 盗汗 [详细],毛囊炎 疖 [详细],药物、手术治疗 [详细],六味地黄丸 六味地黄丸 六味地黄丸 [详细],4-8周,80%,
急性腰扭伤,,腰部,青壮年、老年人,无传染性,医保疾病,骨科 中医科,腹部平片 腰背痛体格检查 脊椎平片 MRI 腰背部麻醉试验 [详细],扭伤 瘀血 剧痛 腰大肌肿胀 脊柱侧弯 [详细],急性腰扭伤 [详细],药物治疗、休息治疗、物理治疗、中医治疗 [详细],壮骨麝香止痛膏 *正骨水 麝香镇痛膏 [详细],7-14天,90%,
病毒性肝炎,,肝,无特殊发病群体,有传染性,医保疾病,传染科 肝炎,肝功能 血清谷草转氨酶 血清甲型肝炎病毒抗原 白细胞分类计数 淋巴细胞数 血小板计数 血清胆固醇酯 血清胆碱酯酶 血清Ⅲ型胶原蛋白 血清循环免疫复合物 [详细],肝被膜紧张 大块肝细胞坏死 蛋白尿 大三阳 恶心 [详细],糖尿病 脂肪肝 再生障碍性贫血 [详细],药物治疗 [详细],鸡骨草肝炎颗粒 茵白肝炎颗粒 复方肝炎颗粒 [详细],3-6月,85%,不同医院收费标准不一致，市三甲医院约（5000-10000元）;
前置胎盘,,子宫,女性人群，妊娠妇女,无传染性,医保疾病,产科,产科B超 催产素激惹试验 胎儿发育检查 MRI 血常规 [详细],阴道不规则出血 阴道持续流血不停 阴道持续少量流血 阴道流血过多 阴道出血 [详细],前置胎盘 宫颈癌 妊娠合并宫颈癌 [详细],药物治疗 [详细],安胎丸 保胎灵 滋肾育胎丸 [详细],15天,80%,
小儿营养不良,,全身,婴幼儿,无传染性,非医保疾病,儿科 营养科,血清转铁蛋白 血清甲状腺素结合前白蛋白 血浆铜蓝蛋白 血清碱性磷酸酶 血清淀粉酶 [详细],食欲不振 面色苍白 儿童偏食 皮肤干燥 消瘦 [详细],鹅口疮 肠炎 [详细],中医药物治疗、西医药物治疗 [详细],强身健脑片 参术儿康糖浆 维生素E软胶囊 [详细],30天,85%,
肺热咳嗽,,肺,所有人群,无传染性,非医保疾病,中医科 呼吸内科,,咳嗽 咳出黄色痰液 口干 咽痛 尿赤 [详细],新生儿泪囊炎 咳嗽变异性哮喘 副鼻窦炎 小儿便秘 脑血管瘤 [详细],药物治疗 [详细],清肺十八味丸 羚羊清肺颗粒 祖卡木颗粒 [详细],治疗周期7天,治愈率99%,
阿斯匹林不耐受三联症,Wiolal综合征,鼻 肺,成年人,无传染性,医保疾病,呼吸内科 耳鼻喉科,激发试验 [详细],胸闷 变应性鼻炎 皮质激素依赖 鼻溢液 鼻分泌物增多 [详细],休克 [详细],,盐酸氨溴索分散... 盐酸氨溴索分散... 吡嘧司特钾片 [详细],,暂无相关资料,
汞中毒,,全身,所有人群,无传染性,医保疾病,急诊科,血清胆碱酯酶 脑电图 尿汞 血清汞 [详细],肚子疼 酩酊感 汞毒性震颤 焦虑 齿龈肿胀 [详细],,药物治疗 [详细],二巯丁二酸胶囊 葡醛内酯片 盐酸丙哌维林片 [详细],10天,30%,
阴道白斑,"女阴白斑,阴道白斑病",阴道 皮肤,多见于更年期妇女,无传染性,医保疾病,妇科 皮肤科,阴道分泌物涂片 阴道窥器检查 阴道镜 [详细],外阴白斑 阴道分泌物增多 急性阴道感染 阴部溃疡 瘙痒 [详细],阴道炎 [详细],药物治疗、手术治疗 [详细],诺氟沙星药膜 复方莪术油栓 聚甲酚磺醛溶液 [详细],手术治疗周期7天,治愈率87%,
